Country ,January,February,March,April,May,June,July,August,September,October,November,December
Australia,Summer-Birak,Summer-Bunuru,Autumn-Bunuru,Autumn-Djeran,Autumn-Djeran,Winter-Makuru,Winter-Makuru,Winter-Dijiba,Spring-Dijiba,Spring-Kambarang,Spring-Kambarang,Summer-Birak
Spain,Winter,Winter,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter
Japan,Winter,Winter,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter
Mauritius,Summer,Summer,Summer,Summer,Autumn,Winter,Winter,Winter,Winter,Spring,Summer,Summer
Malaysia,NortheastMonsoon,NortheastMonsoon,Inter-Monsoon,Inter-Monsoon,Southeast Monsoon,Southeast Monsoon,Southeast Monsoon,Southeast Monsoon,Southeast Monsoon,Inter-Monsoon,Inter-Monsoon,NortheastMonsoon
Srilanka,NortheastMonsoon,NortheastMonsoon,Inter-Monsoon,Inter-Monsoon,Southeast Monsoon,Southeast Monsoon,Southeast Monsoon,Southeast Monsoon,Southeast Monsoon,Inter-Monsoon,Inter-Monsoon,NortheastMonsoon
